Date,Open,High,Low,Close,Volume
2017-03-31,19.02,19.25,19.02,19.17,65095
2017-03-30,19.09,19.15,18.96,19.02,49069
2017-03-29,18.99,19.16,18.98,19.09,85722
2017-03-28,19.25,19.31,18.91,18.97,80168
2017-03-27,18.79,19.32,18.79,19.10,153180
2017-03-24,18.77,18.79,18.63,18.78,61325
2017-03-23,18.52,18.81,18.48,18.64,76620
2017-03-22,18.74,18.75,18.48,18.52,87113
2017-03-21,18.75,18.83,18.65,18.76,75252
2017-03-20,18.89,18.95,18.61,18.76,62714
2017-03-17,19.17,19.21,18.78,18.81,67552
2017-03-16,19.10,19.25,19.02,19.06,59689
2017-03-15,19.10,19.13,18.96,19.01,41506
2017-03-14,19.04,19.19,19.02,19.10,34699
2017-03-13,18.89,19.05,18.81,19.03,32308
2017-03-10,19.02,19.05,18.83,18.91,39481
2017-03-09,19.25,19.25,18.92,19.05,44148
2017-03-08,19.12,19.35,19.08,19.29,37435
2017-03-07,19.10,19.29,18.97,19.24,48299
2017-03-06,19.01,19.39,19.00,19.06,45726
2017-03-03,19.07,19.17,18.95,19.01,32333
2017-03-02,19.38,19.45,19.07,19.10,46399
2017-03-01,19.45,19.51,19.28,19.34,46482
2017-02-28,19.40,19.58,19.36,19.44,32345
2017-02-27,19.38,19.57,19.26,19.41,49439
2017-02-24,19.38,19.50,19.27,19.43,40110
2017-02-23,19.41,19.44,19.27,19.38,30301
2017-02-22,19.43,19.57,19.30,19.40,43772
2017-02-21,19.43,19.81,19.39,19.41,58885
2017-02-20,19.03,19.50,18.98,19.40,86418
2017-02-17,19.19,19.23,18.98,19.02,34340
2017-02-16,19.19,19.34,19.04,19.14,67477
2017-02-15,18.97,19.23,18.90,19.13,114093
2017-02-14,19.00,19.03,18.81,18.87,44943
2017-02-13,18.90,19.09,18.89,18.97,48069
2017-02-10,18.86,18.97,18.73,18.90,74838
2017-02-09,18.59,18.93,18.59,18.73,41811
2017-02-08,18.55,18.60,18.48,18.60,36554
2017-02-07,18.63,18.68,18.55,18.57,42684
2017-02-06,18.88,18.90,18.54,18.62,44983
2017-02-03,19.08,19.08,18.66,18.70,43717
2017-01-26,18.90,19.25,18.82,19.00,52151
2017-01-25,18.81,18.95,18.68,18.88,28727
2017-01-24,18.59,18.88,18.50,18.87,47929
2017-01-23,18.68,18.76,18.41,18.50,36976
2017-01-20,18.54,18.65,18.47,18.59,40316
2017-01-19,18.55,18.74,18.51,18.52,24423
2017-01-18,18.49,18.61,18.47,18.59,33198
2017-01-17,18.50,18.59,18.43,18.45,43584
2017-01-16,18.18,18.59,18.16,18.58,138525
2017-01-13,18.00,18.38,17.98,18.22,45693
2017-01-12,17.95,18.13,17.94,18.00,25423
2017-01-11,18.03,18.07,17.93,17.96,24162
2017-01-10,17.95,18.09,17.91,17.94,19186
2017-01-09,18.05,18.13,17.91,17.94,31246
2017-01-06,18.10,18.16,17.96,17.96,31546
2017-01-05,18.05,18.21,18.03,18.10,44532
2017-01-04,17.90,18.11,17.85,18.02,46192
2017-01-03,17.60,17.98,17.57,17.96,54344
2016-12-30,17.53,17.61,17.47,17.60,39835
2016-12-29,17.60,17.62,17.43,17.49,49758
2016-12-28,17.72,17.77,17.49,17.62,47010
2016-12-27,17.73,17.82,17.65,17.71,17919
2016-12-26,17.56,17.77,17.39,17.75,28748
2016-12-23,17.77,17.77,17.54,17.60,31906
2016-12-22,17.85,17.85,17.65,17.72,38844
2016-12-21,17.83,17.98,17.77,17.81,55137
2016-12-20,17.99,17.99,17.70,17.79,53102
2016-12-19,18.15,18.18,17.93,18.01,44390
2016-12-16,18.24,18.40,18.12,18.18,44196
2016-12-15,18.73,18.73,18.20,18.24,67354
2016-12-14,18.80,19.14,18.80,18.82,62128
2016-12-13,19.09,19.20,18.81,18.88,47199
2016-12-12,19.16,19.65,18.90,19.25,153014
2016-12-09,18.76,19.34,18.75,19.20,119739
2016-12-08,18.67,18.88,18.62,18.76,50530
2016-12-07,18.65,18.71,18.58,18.62,22670
2016-12-06,18.66,18.78,18.57,18.60,59259
2016-12-05,18.39,18.67,18.34,18.66,93395
2016-12-02,18.53,18.54,18.24,18.49,89133
2016-12-01,18.55,18.64,18.41,18.49,99777
2016-11-30,18.76,18.82,18.47,18.55,72780
2016-11-29,18.65,18.76,18.51,18.75,91507
2016-11-28,19.10,19.20,18.52,18.65,160449
2016-11-25,18.80,19.02,18.66,18.99,77245
2016-11-24,18.77,18.97,18.61,18.74,50254
2016-11-23,18.40,18.90,18.37,18.84,124312
2016-11-22,18.37,18.49,18.28,18.37,96427
2016-11-21,18.08,18.68,18.08,18.34,76053
2016-11-18,18.12,18.16,18.03,18.10,33580
2016-11-17,18.11,18.14,18.01,18.12,49138
2016-11-16,18.23,18.29,18.05,18.12,42716
2016-11-15,18.10,18.24,18.03,18.18,46508
2016-11-14,18.00,18.25,17.95,18.04,64125
2016-11-11,17.95,18.08,17.93,18.02,49745
2016-11-10,17.95,18.11,17.94,18.00,48925
2016-11-09,18.00,18.08,17.77,17.89,61249
2016-11-08,17.92,18.06,17.89,17.99,47152
2016-11-07,17.91,17.93,17.85,17.89,37255
2016-11-04,17.90,18.00,17.87,17.91,48327
2016-11-03,17.83,17.97,17.79,17.93,48454
2016-11-02,17.86,17.94,17.76,17.84,55127
2016-11-01,17.87,17.99,17.79,17.98,33954
2016-10-31,17.87,17.96,17.72,17.86,23049
2016-10-28,17.80,18.05,17.80,17.90,36515
2016-10-27,18.06,18.06,17.77,17.81,38936
2016-10-26,18.12,18.15,17.95,17.97,25876
2016-10-25,18.31,18.46,18.09,18.13,36061
2016-10-24,17.93,18.42,17.86,18.31,53156
2016-10-21,17.91,17.93,17.82,17.91,22219
2016-10-20,17.90,17.98,17.83,17.89,22097
2016-10-19,17.93,18.05,17.83,17.88,21390
2016-10-18,17.86,17.99,17.84,17.93,25604
2016-10-17,18.07,18.10,17.83,17.86,21966
2016-10-14,18.10,18.15,18.00,18.10,22124
2016-10-13,18.15,18.21,18.05,18.09,19154
2016-10-12,18.28,18.31,18.10,18.15,19062
2016-10-11,18.33,18.49,18.26,18.33,23756
2016-10-10,18.03,18.38,18.03,18.30,34835
2016-09-30,17.96,18.10,17.95,18.00,15207
2016-09-29,17.96,18.07,17.92,18.00,18563
2016-09-28,18.06,18.06,17.83,17.89,19223
2016-09-27,17.97,18.10,17.94,18.07,18041
2016-09-26,17.91,18.09,17.85,18.00,26487
2016-09-23,17.99,18.09,17.93,17.98,24417
2016-09-22,17.99,18.17,17.88,17.97,22295
2016-09-21,17.75,17.95,17.75,17.88,13714
2016-09-20,17.80,17.85,17.67,17.74,18202
2016-09-19,17.55,17.88,17.55,17.81,29945
2016-09-14,17.99,17.99,17.48,17.54,39378
2016-09-13,17.91,18.08,17.90,17.91,24352
2016-09-12,18.16,18.18,17.81,17.90,50604
2016-09-09,18.52,18.57,18.31,18.33,15993
2016-09-08,18.58,18.63,18.48,18.53,15429
2016-09-07,18.51,18.62,18.40,18.56,32812
2016-09-06,18.75,18.78,18.43,18.51,33416
2016-09-05,18.68,18.82,18.57,18.75,37217
2016-09-02,18.52,18.72,18.48,18.68,33298
2016-09-01,18.60,18.78,18.55,18.62,29083
2016-08-31,18.36,18.76,18.36,18.63,29086
2016-08-30,18.24,18.52,18.23,18.44,35260
2016-08-29,18.46,18.48,18.03,18.27,37440
2016-08-26,18.49,18.60,18.44,18.55,31383
2016-08-25,18.57,18.64,18.19,18.51,35808
2016-08-24,18.66,18.70,18.43,18.62,35491
2016-08-23,18.61,19.00,18.52,18.66,54240
2016-08-22,18.62,18.80,18.51,18.69,38870
2016-08-19,18.34,18.75,18.31,18.62,72918
2016-08-18,18.33,18.65,18.13,18.23,59692
2016-08-17,18.43,18.68,18.31,18.40,40434
2016-08-16,18.64,18.87,18.12,18.31,110574
2016-08-15,18.10,18.99,18.02,18.42,152005
2016-08-12,17.51,18.00,17.47,17.99,79426
2016-08-11,17.30,17.87,17.26,17.45,54968
2016-08-10,17.17,17.29,17.15,17.28,32368
2016-08-09,17.13,17.20,17.10,17.17,43621
2016-08-08,17.14,17.15,17.07,17.13,22525
2016-08-05,17.06,17.15,17.05,17.10,28670
2016-08-04,17.11,17.12,16.98,17.06,20135
2016-08-03,17.08,17.16,17.01,17.07,15975
2016-08-02,17.21,17.25,17.12,17.15,16876
2016-08-01,17.15,17.24,17.10,17.18,34192
2016-07-29,17.15,17.23,17.04,17.16,20881
2016-07-28,17.19,17.29,17.09,17.14,33701
2016-07-27,17.20,17.38,16.89,17.37,55079
2016-07-26,17.05,17.20,17.05,17.17,20125
2016-07-25,17.09,17.18,17.01,17.12,13862
2016-07-22,17.25,17.25,17.03,17.08,17193
2016-07-21,17.07,17.27,17.07,17.24,25105
2016-07-20,17.10,17.14,17.02,17.07,19985
2016-07-19,17.26,17.33,17.09,17.12,23992
2016-07-18,17.15,17.49,17.13,17.26,42706
2016-07-15,17.08,17.17,17.08,17.14,18963
2016-07-14,17.07,17.16,17.00,17.09,21640
2016-07-13,17.13,17.39,17.02,17.05,49587
2016-07-12,17.48,17.75,17.46,17.71,44785
2016-07-11,17.49,17.55,17.40,17.48,28010
2016-07-08,17.50,17.51,17.35,17.39,26468
2016-07-07,17.41,17.52,17.35,17.51,26620
2016-07-06,17.53,17.54,17.31,17.42,36153
2016-07-05,17.79,17.79,17.45,17.56,32701
2016-07-04,17.63,17.92,17.63,17.72,31442
2016-07-01,17.50,17.66,17.49,17.63,19339
